iter	Passed	Remaining
0	2	248
1	4	240
2	7	234
3	9	229
4	11	225
5	14	225
6	16	223
7	19	219
8	21	218
9	23	215
10	26	212
11	28	209
12	30	207
13	33	204
14	35	200
15	37	198
16	40	196
17	42	194
18	45	192
19	47	189
20	49	187
21	52	186
22	55	184
23	57	182
24	59	179
25	62	177
26	64	175
27	67	172
28	69	170
29	71	167
30	74	165
31	77	163
32	79	162
33	82	159
34	84	157
35	87	154
36	89	152
37	92	150
38	95	148
39	97	146
40	100	144
41	103	142
42	105	140
43	108	137
44	110	135
45	113	132
46	115	130
47	118	127
48	120	125
49	122	122
50	125	120
51	127	118
52	130	115
53	132	113
54	135	110
55	138	108
56	140	106
57	143	103
58	145	101
59	148	98
60	151	96
61	153	94
62	156	91
63	158	89
64	161	86
65	163	84
66	166	81
67	168	79
68	170	76
69	173	74
70	175	71
71	178	69
72	180	66
73	183	64
74	185	61
75	188	59
76	190	56
77	193	54
78	195	51
79	198	49
80	200	47
81	202	44
82	205	42
83	207	39
84	209	37
85	212	34
86	214	32
87	217	29
88	219	27
89	221	24
90	224	22
91	226	19
92	229	17
93	231	14
94	233	12
95	236	9
96	238	7
97	241	4
98	243	2
99	246	0
